latitude,longitude,elevation,time
45.650007,13.807086,109.9,2025-04-11 13:06:31+00:00
45.650003,13.807099,109.9,2025-04-11 13:06:32+00:00
45.649992,13.807128,110.0,2025-04-11 13:06:33+00:00
45.649973,13.807162,110.2,2025-04-11 13:06:34+00:00
45.649955,13.807201,110.4,2025-04-11 13:06:35+00:00
45.649949,13.807208,110.4,2025-04-11 13:06:36+00:00
45.649934,13.807232,110.5,2025-04-11 13:06:37+00:00
45.64991,13.807287,110.8,2025-04-11 13:06:38+00:00
45.649897,13.807306,110.9,2025-04-11 13:06:39+00:00
45.649865,13.807314,111.1,2025-04-11 13:06:40+00:00
45.649812,13.807339,111.4,2025-04-11 13:06:41+00:00
45.649791,13.807389,111.6,2025-04-11 13:06:42+00:00
45.649783,13.807408,111.7,2025-04-11 13:06:43+00:00
45.649777,13.807451,111.8,2025-04-11 13:06:44+00:00
45.649777,13.807467,111.9,2025-04-11 13:06:45+00:00
45.64976,13.807521,112.1,2025-04-11 13:06:46+00:00
45.649747,13.807542,112.2,2025-04-11 13:06:47+00:00
45.649725,13.807595,112.5,2025-04-11 13:06:48+00:00
45.649715,13.807616,112.6,2025-04-11 13:06:49+00:00
45.649684,13.807622,112.7,2025-04-11 13:06:50+00:00
45.64965,13.807653,113.0,2025-04-11 13:06:51+00:00
45.649637,13.807695,113.1,2025-04-11 13:06:52+00:00
45.649634,13.807712,113.2,2025-04-11 13:06:53+00:00
45.649618,13.807743,113.4,2025-04-11 13:06:54+00:00
45.649603,13.807788,113.6,2025-04-11 13:06:55+00:00
45.649606,13.807833,113.7,2025-04-11 13:06:56+00:00
45.649606,13.807855,113.8,2025-04-11 13:06:57+00:00
45.649597,13.807904,114.0,2025-04-11 13:06:58+00:00
45.649595,13.807917,114.1,2025-04-11 13:06:59+00:00
45.649593,13.807961,114.3,2025-04-11 13:07:00+00:00
45.649596,13.807975,114.3,2025-04-11 13:07:01+00:00
45.649583,13.808003,114.4,2025-04-11 13:07:02+00:00
45.649565,13.808042,114.6,2025-04-11 13:07:03+00:00
45.649553,13.80808,114.8,2025-04-11 13:07:04+00:00
45.649546,13.808094,114.8,2025-04-11 13:07:05+00:00
45.649527,13.808124,115.0,2025-04-11 13:07:06+00:00
45.649507,13.808156,115.1,2025-04-11 13:07:07+00:00
45.649501,13.808169,115.2,2025-04-11 13:07:08+00:00
45.649489,13.808198,115.3,2025-04-11 13:07:09+00:00
45.649457,13.808231,115.5,2025-04-11 13:07:10+00:00
45.649444,13.808239,115.6,2025-04-11 13:07:11+00:00
45.649412,13.808274,115.8,2025-04-11 13:07:12+00:00
45.6494,13.808288,115.9,2025-04-11 13:07:13+00:00
45.649378,13.808317,116.1,2025-04-11 13:07:14+00:00
45.649376,13.808337,116.2,2025-04-11 13:07:15+00:00
45.649358,13.808359,116.3,2025-04-11 13:07:16+00:00
45.64933,13.808387,116.5,2025-04-11 13:07:17+00:00
45.649297,13.808425,116.7,2025-04-11 13:07:18+00:00
45.649285,13.808425,116.8,2025-04-11 13:07:19+00:00
45.649271,13.808458,117.0,2025-04-11 13:07:20+00:00
45.649243,13.808488,117.2,2025-04-11 13:07:21+00:00
45.649236,13.808497,117.2,2025-04-11 13:07:22+00:00
45.649215,13.808547,117.5,2025-04-11 13:07:23+00:00
45.649204,13.808563,117.6,2025-04-11 13:07:24+00:00
45.649195,13.808567,117.6,2025-04-11 13:07:25+00:00
45.649184,13.808593,117.7,2025-04-11 13:07:26+00:00
45.649156,13.808636,118.0,2025-04-11 13:07:27+00:00
45.649144,13.80865,118.1,2025-04-11 13:07:28+00:00
45.649124,13.808682,118.2,2025-04-11 13:07:29+00:00
45.649124,13.808697,118.3,2025-04-11 13:07:30+00:00
45.649103,13.808721,118.4,2025-04-11 13:07:31+00:00
45.649071,13.808744,118.6,2025-04-11 13:07:32+00:00
45.649048,13.808766,118.8,2025-04-11 13:07:33+00:00
45.649013,13.808805,119.0,2025-04-11 13:07:34+00:00
45.648998,13.808826,119.1,2025-04-11 13:07:35+00:00
45.648984,13.808854,119.2,2025-04-11 13:07:36+00:00
45.648976,13.808871,119.3,2025-04-11 13:07:37+00:00
45.648957,13.808907,119.5,2025-04-11 13:07:38+00:00
45.648955,13.808915,119.5,2025-04-11 13:07:39+00:00
45.648934,13.80896,119.7,2025-04-11 13:07:40+00:00
45.648925,13.808974,119.8,2025-04-11 13:07:41+00:00
45.648899,13.809012,120.0,2025-04-11 13:07:42+00:00
45.648887,13.809028,120.0,2025-04-11 13:07:43+00:00
45.648879,13.809041,120.1,2025-04-11 13:07:44+00:00
45.64887,13.809069,120.2,2025-04-11 13:07:45+00:00
45.648864,13.809111,120.4,2025-04-11 13:07:46+00:00
45.648861,13.809122,120.4,2025-04-11 13:07:47+00:00
45.64885,13.809169,120.6,2025-04-11 13:07:48+00:00
45.648845,13.809182,120.6,2025-04-11 13:07:49+00:00
45.648838,13.809195,120.7,2025-04-11 13:07:50+00:00
45.648841,13.809228,120.8,2025-04-11 13:07:51+00:00
45.648827,13.809264,121.0,2025-04-11 13:07:52+00:00
45.648817,13.8093,121.1,2025-04-11 13:07:53+00:00
45.648813,13.809315,121.1,2025-04-11 13:07:54+00:00
45.648806,13.809354,121.3,2025-04-11 13:07:55+00:00
45.648783,13.809398,121.5,2025-04-11 13:07:56+00:00
45.648776,13.809417,121.6,2025-04-11 13:07:57+00:00
45.648764,13.809458,121.7,2025-04-11 13:07:58+00:00
45.648763,13.80947,121.7,2025-04-11 13:07:59+00:00
45.648753,13.809508,121.9,2025-04-11 13:08:00+00:00
45.648742,13.809523,122.0,2025-04-11 13:08:01+00:00
45.648747,13.809543,122.0,2025-04-11 13:08:02+00:00
45.648762,13.809506,122.2,2025-04-11 13:08:03+00:00
45.648761,13.809496,122.2,2025-04-11 13:08:04+00:00
45.648754,13.809489,122.3,2025-04-11 13:08:05+00:00
45.648737,13.809474,122.4,2025-04-11 13:08:06+00:00
45.648712,13.809492,122.5,2025-04-11 13:08:07+00:00
45.648706,13.809503,122.6,2025-04-11 13:08:08+00:00
45.64871,13.809529,122.6,2025-04-11 13:08:09+00:00
45.648698,13.809545,122.7,2025-04-11 13:08:10+00:00
45.648692,13.809559,122.8,2025-04-11 13:08:11+00:00
45.648681,13.809586,122.9,2025-04-11 13:08:12+00:00
45.648672,13.809606,123.0,2025-04-11 13:08:13+00:00
45.648669,13.809632,123.1,2025-04-11 13:08:14+00:00
45.648666,13.809675,123.2,2025-04-11 13:08:15+00:00
45.648666,13.809688,123.3,2025-04-11 13:08:16+00:00
45.648651,13.809727,123.4,2025-04-11 13:08:17+00:00
45.648643,13.809735,123.5,2025-04-11 13:08:18+00:00
45.648636,13.80975,123.6,2025-04-11 13:08:19+00:00
45.648621,13.809773,123.7,2025-04-11 13:08:20+00:00
45.648628,13.809776,123.7,2025-04-11 13:08:21+00:00
45.648627,13.809784,123.8,2025-04-11 13:08:22+00:00
45.648627,13.809792,123.8,2025-04-11 13:08:23+00:00
45.648627,13.8098,123.8,2025-04-11 13:08:24+00:00
45.648626,13.809807,123.9,2025-04-11 13:08:25+00:00
45.648626,13.809815,123.9,2025-04-11 13:08:26+00:00
45.648625,13.809823,123.9,2025-04-11 13:08:27+00:00
45.648625,13.809831,124.0,2025-04-11 13:08:28+00:00
45.648625,13.809839,124.0,2025-04-11 13:08:29+00:00
45.648624,13.809847,124.0,2025-04-11 13:09:04+00:00
45.648624,13.809855,124.1,2025-04-11 13:09:05+00:00
45.648624,13.809863,124.1,2025-04-11 13:09:06+00:00
45.648623,13.80987,124.1,2025-04-11 13:09:07+00:00
45.648623,13.809878,124.2,2025-04-11 13:09:08+00:00
45.648622,13.809886,124.2,2025-04-11 13:09:09+00:00
45.648622,13.809894,124.2,2025-04-11 13:09:10+00:00
45.648622,13.809902,124.3,2025-04-11 13:09:11+00:00
45.648621,13.80991,124.3,2025-04-11 13:09:12+00:00
45.648621,13.809918,124.3,2025-04-11 13:09:13+00:00
45.648621,13.809926,124.4,2025-04-11 13:09:14+00:00
45.64862,13.809933,124.4,2025-04-11 13:09:47+00:00
45.64862,13.809941,124.4,2025-04-11 13:09:48+00:00
45.648619,13.809949,124.5,2025-04-11 13:09:49+00:00
45.648619,13.809957,124.5,2025-04-11 13:09:50+00:00
45.648605,13.809992,124.7,2025-04-11 13:09:51+00:00
45.648599,13.81001,124.8,2025-04-11 13:09:52+00:00
45.648584,13.810045,125.0,2025-04-11 13:09:53+00:00
45.648579,13.810089,125.2,2025-04-11 13:09:54+00:00
45.64857,13.810108,125.3,2025-04-11 13:09:55+00:00
45.64854,13.810152,125.7,2025-04-11 13:09:56+00:00
45.648502,13.810145,125.8,2025-04-11 13:09:57+00:00
45.64845,13.810093,126.0,2025-04-11 13:09:58+00:00
45.648429,13.810038,126.2,2025-04-11 13:09:59+00:00
45.648429,13.809972,126.3,2025-04-11 13:10:00+00:00
45.648435,13.809917,126.4,2025-04-11 13:10:01+00:00
45.648445,13.80988,126.4,2025-04-11 13:10:02+00:00
45.648464,13.809842,126.5,2025-04-11 13:10:03+00:00
45.648468,13.809827,126.5,2025-04-11 13:10:04+00:00
45.648476,13.809804,126.6,2025-04-11 13:10:05+00:00
45.648488,13.809787,126.6,2025-04-11 13:10:06+00:00
45.648503,13.809745,126.7,2025-04-11 13:10:07+00:00
45.648505,13.809726,126.7,2025-04-11 13:10:08+00:00
45.648519,13.80967,126.8,2025-04-11 13:10:09+00:00
45.648529,13.809649,126.9,2025-04-11 13:10:10+00:00
45.64854,13.80961,127.0,2025-04-11 13:10:11+00:00
45.648555,13.80956,127.1,2025-04-11 13:10:12+00:00
45.648557,13.809543,127.1,2025-04-11 13:10:13+00:00
45.648552,13.809499,127.2,2025-04-11 13:10:14+00:00
45.648555,13.809451,127.3,2025-04-11 13:10:15+00:00
45.64856,13.809397,127.5,2025-04-11 13:10:16+00:00
45.648581,13.809345,127.6,2025-04-11 13:10:17+00:00
45.6486,13.809276,127.8,2025-04-11 13:10:18+00:00
45.648619,13.80922,128.0,2025-04-11 13:10:19+00:00
45.64863,13.8092,128.1,2025-04-11 13:10:20+00:00
45.648632,13.809131,128.3,2025-04-11 13:10:21+00:00
45.648645,13.809094,128.5,2025-04-11 13:10:22+00:00
45.648665,13.809024,128.7,2025-04-11 13:10:23+00:00
45.648658,13.808975,128.9,2025-04-11 13:10:24+00:00
45.648688,13.808907,129.3,2025-04-11 13:10:25+00:00
45.648698,13.808867,129.4,2025-04-11 13:10:26+00:00
45.64869,13.808823,129.6,2025-04-11 13:10:27+00:00
45.64867,13.808778,129.8,2025-04-11 13:10:28+00:00
45.648664,13.80876,129.9,2025-04-11 13:10:29+00:00
45.648658,13.808714,130.1,2025-04-11 13:10:30+00:00
45.648661,13.808671,130.3,2025-04-11 13:10:31+00:00
45.648669,13.808628,130.5,2025-04-11 13:10:32+00:00
45.648673,13.808569,130.7,2025-04-11 13:10:33+00:00
45.648676,13.808545,130.8,2025-04-11 13:10:34+00:00
45.648679,13.808505,131.0,2025-04-11 13:10:35+00:00
45.648685,13.808457,131.1,2025-04-11 13:10:36+00:00
45.648688,13.808437,131.2,2025-04-11 13:10:37+00:00
45.648706,13.808394,131.4,2025-04-11 13:10:38+00:00
45.64871,13.808349,131.5,2025-04-11 13:10:39+00:00
45.648708,13.808291,131.7,2025-04-11 13:10:40+00:00
45.648711,13.808268,131.8,2025-04-11 13:10:41+00:00
45.648702,13.808224,132.0,2025-04-11 13:10:42+00:00
45.648709,13.808176,132.1,2025-04-11 13:10:43+00:00
45.648711,13.808156,132.2,2025-04-11 13:10:44+00:00
45.648713,13.808112,132.4,2025-04-11 13:10:45+00:00
45.648708,13.808067,132.5,2025-04-11 13:10:46+00:00
45.64871,13.808044,132.6,2025-04-11 13:10:47+00:00
45.648729,13.807984,132.8,2025-04-11 13:10:48+00:00
45.648747,13.807933,133.0,2025-04-11 13:10:49+00:00
45.648752,13.807908,133.1,2025-04-11 13:10:50+00:00
45.648776,13.807857,133.3,2025-04-11 13:10:51+00:00
45.648796,13.807802,133.5,2025-04-11 13:10:52+00:00
45.648803,13.807744,133.7,2025-04-11 13:10:53+00:00
45.648806,13.807718,133.8,2025-04-11 13:10:54+00:00
45.648816,13.807658,134.0,2025-04-11 13:10:55+00:00
45.648819,13.807631,134.1,2025-04-11 13:10:56+00:00
45.648827,13.807594,134.3,2025-04-11 13:10:57+00:00
45.648835,13.807537,134.5,2025-04-11 13:10:58+00:00
45.648845,13.807472,134.8,2025-04-11 13:10:59+00:00
45.648851,13.807439,134.9,2025-04-11 13:11:00+00:00
45.648843,13.807392,135.1,2025-04-11 13:11:01+00:00
