latitude,longitude,elevation,distance_m,gradient_percent
45.651162,13.804903,99.2,0.0,6264.48929160429
45.651153,13.804919,99.3,1.5962993205849196,3132.2447985530744
45.651144,13.804935,99.3,3.1925987968643303,3132.243880588794
45.651135,13.804951,99.4,4.788898429333541,6164.968088868591
45.651112,13.804979,99.6,8.147079462949279,1473.5797909030225
45.651103,13.804985,99.6,9.25116687741596,1202.09594833741
45.651071,13.805001,99.8,13.020479992133147,5711.451436219068
45.651056,13.805005,99.9,14.71713459849808,4889.396996465985
45.651031,13.805037,100.0,18.44733152239005,6454.486713780352
45.651023,13.805049,100.1,19.73625259532176,7096.423041681101
45.650998,13.805085,100.3,23.68057936627306,1149.44232856069
45.650991,13.805096,100.3,24.836821174631883,1764.241554909313
45.65097,13.805122,100.5,27.924999009598455,6069.244832835284
45.650944,13.805149,100.7,31.49748676135046,1526.007278606994
45.650933,13.805156,100.7,32.83618943857146,1300.5883248299142
45.650907,13.80519,100.9,36.75313732901677,6518.632788371178
45.650898,13.805203,101.0,38.17530374392767,6477.463300360341
45.650874,13.805243,101.2,42.27269028478829,1309.6537673394778
45.650864,13.805256,101.2,43.775181701223836,1542.9350127944417
45.650835,13.80528,101.4,47.500556116670005,7217.081482333742
45.650825,13.805288,101.5,48.7745660310548,6502.5760002756215
45.650813,13.805324,101.6,51.87465204378005,7598.834809790424
45.650812,13.805338,101.7,52.96851775882343,7573.395209694536
45.65079,13.805351,101.8,55.615285340781824,7632.916653227585
45.650782,13.805359,101.9,56.70063627356978,4606.805012413679
45.650774,13.805367,101.9,57.785987257323626,1293.1351793213253
45.650746,13.80539,102.1,61.37620985961095,4280.486014761118
45.650731,13.805425,102.2,64.56730708617214,5411.462539149943
45.650722,13.80544,102.3,66.10382955853441,6082.714278373169
45.650699,13.80548,102.5,70.12968529314351,5211.464493900712
45.650687,13.805497,102.6,72.00759012452237,1711.667331510398
45.650679,13.805497,102.6,72.89714953780317,711.6474776671566
45.65067,13.805535,102.7,76.01577128449749,3830.9872489147892
45.650648,13.80558,102.9,80.284129855918,5095.049186812685
45.650651,13.805604,103.0,82.17921086918807,4773.060193797937
45.650639,13.80563,103.1,84.60092321693655,4186.544827645412
45.650627,13.805655,103.2,86.95815942642496,4242.255923063203
45.650615,13.80568,103.3,89.31539597923995,5011.919828821556
45.650605,13.805698,103.4,91.1025624182856,5415.568764063937
45.650614,13.805719,103.5,93.01722395932494,4517.125319346451
45.650596,13.805746,103.6,95.91730781587192,4831.5375405352825
45.650586,13.805784,103.8,99.07337333095278,5653.690882790397
45.650592,13.805807,103.9,100.98156951865779,4854.041575172232
45.650586,13.805835,104.0,103.25794044391317,3728.75364142692
45.650568,13.805877,104.1,107.08726514096438,4591.333857615973
45.650555,13.805891,104.2,108.89661783866241,5846.929525518135
45.65054,13.805925,104.4,112.02172089152603,4711.551304528439
45.650524,13.805966,104.5,115.67158437624266,5947.169270268932
45.650528,13.805983,104.6,117.06582433676093,6768.779065480339
45.650516,13.805994,104.7,118.65060099778493,3210.2624849503627
45.650503,13.806004,104.7,120.29186502601344,3210.2618629585777
45.650491,13.806015,104.8,121.87664189294043,6310.036381149985
45.650479,13.806026,104.9,123.46141885929158,5933.714592767319
45.650464,13.806073,105.1,127.47742443876878,3931.560115368484
45.650452,13.806111,105.2,130.7185385501801,13989.47186001169
45.650452,13.806119,105.3,131.34037076985538,7586.640018134494
45.650453,13.806126,105.3,131.89571984032165,465.9421116970407
45.650437,13.80616,105.4,135.0815616943903,4982.407484176656
45.650424,13.806171,105.5,136.76103400611407,5839.550251572291
45.650404,13.806207,105.7,140.33537454985958,5101.3089184009
45.650381,13.806254,105.9,144.7948688287277,7101.631115224154
45.650391,13.806262,106.0,146.06888114848704,6511.878443898058
45.650368,13.806291,106.1,149.47797036489118,4798.883014788589
45.650358,13.806328,106.3,152.56142362331857,4826.28264434079
45.650342,13.806363,106.4,155.8120386182199,4377.401220915453
45.650321,13.806396,106.6,159.28078649571373,6725.765028144087
45.650313,13.80641,106.7,160.68631657120704,5894.2403717454
45.650289,13.806438,106.8,164.12995441849912,3950.4547233364065
45.650267,13.806477,107.0,168.0253317254868,7656.384589122899
45.650265,13.806492,107.1,169.21229072237992,7031.119773731189
45.650256,13.806519,107.2,171.5373741212473,4724.238471628632
45.650235,13.806556,107.4,175.2419589821744,8355.181430974335
45.650229,13.806567,107.5,176.32647683406324,7663.26021859968
45.650212,13.806598,107.6,179.38907467290252,4333.54371341411
45.650196,13.806638,107.8,182.97128518300252,14143.35312549083
45.650193,13.806645,107.9,183.60950913366725,13659.799797429514
45.650179,13.806684,108.0,187.01730501668897,4068.453250805942
45.650159,13.806723,108.2,190.77701217904345,5914.775273846317
45.650135,13.80677,108.5,195.30120590572284,969.8083877461613
45.650138,13.806779,108.5,196.076235103346,769.3668005304062
45.650125,13.80681,108.6,198.88618289076496,4386.989202463519
45.650118,13.806856,108.8,202.54547989501015,5272.791574308576
45.650091,13.806889,109.0,206.49430085042002,5948.078823561082
45.65008,13.806902,109.1,208.08085673300346,5838.901568323308
45.650049,13.806937,109.3,212.47214504709402,3957.1697472416417
45.650039,13.80697,109.4,215.26786482722935,5908.504095194803
45.650033,13.806986,109.5,216.67919024488995,6576.987819936585
45.650017,13.80703,109.7,220.53436472259708,1082.5395009218482
45.650016,13.807043,109.7,221.55094953410742,1293.3797381541808
45.650007,13.807086,109.9,225.03992880106975,1377.9037625921774
45.650003,13.807099,109.9,226.1439712704301,1173.4174660286953
45.649992,13.807128,110.0,228.70859978513514,4766.651253527198
45.649973,13.807162,110.2,232.092082664079,5715.580751455309
