Power (W),SOH (%)
0.0,54081.07
0.0,54096.023
0.0,54110.918
0.0,54125.78
0.0,54140.63
0.0,54155.44
0.0,54170.23
0.0,54184.98
0.0,54199.72
0.0,54214.414
0.0,54229.094
0.0,54243.74
0.0,54258.36
0.0,54272.945
0.0,54287.49
0.0,54302.035
0.0,54316.54
0.0,54331.02
0.0,54345.453
0.0,54359.88
0.0,54374.285
0.0,54388.633
0.0,54402.977
0.0,54417.28
0.0,54431.555
0.0,54445.816
0.0,54460.043
0.0,54474.24
0.0,54488.402
0.0,54502.54
0.0,54516.664
0.0,54530.746
0.0,54544.805
0.0,54558.83
0.0,54572.83
0.0,54586.81
0.0,54600.746
0.0,54614.67
0.0,54628.55
0.0,54642.434
0.0,54656.27
0.0,54670.074
0.0,54683.863
0.0,54697.625
0.0,54710.836
0.0,54723.117
0.0,54735.367
0.0,54747.586
0.0,54759.77
0.0,54771.94
0.0,54784.086
0.0,54796.203
0.0,54808.285
0.0,54820.355
0.0,54832.395
0.0,54844.41
0.0,54856.395
0.0,54868.355
0.0,54880.29
0.0,54892.21
0.0,54904.09
0.0,54915.94
0.0,54927.785
0.0,54939.598
0.0,54951.37
0.0,54963.145
0.0,54974.863
0.0,54986.566
0.0,54998.234
0.0,55009.902
0.0,55021.535
0.0,55033.133
0.0,55044.72
0.0,55060.273
0.0,55087.48
0.0,55114.66
0.0,55141.777
0.0,55168.883
0.0,55195.938
0.0,55222.953
0.0,55249.93
0.0,55276.848
0.0,55303.746
0.0,55330.59
0.0,55357.395
0.0,55384.17
0.0,55410.89
0.0,55437.574
0.0,55464.215
0.0,55490.832
0.0,55517.395
0.0,55543.914
0.0,55570.4
0.0,55596.848
0.0,55623.254
0.0,55649.62
0.0,55675.938
0.0,55702.215
0.0,55728.46
0.0,55754.668
0.0,55780.83
0.0,55806.94
0.0,55833.023
0.0,55859.074
0.0,55885.07
0.0,55911.027
0.0,55936.957
0.0,55962.832
0.0,55988.68
0.0,56014.492
0.0,56040.242
0.0,56065.965
0.0,56091.645
0.0,56117.29
0.0,56142.895
0.0,56168.457
0.0,56193.984
0.0,56219.47
0.0,56244.91
0.0,56270.33
0.0,56295.684
0.0,56321.01
0.0,56346.297
0.0,56371.555
0.0,56396.758
0.0,56421.93
0.0,56447.06
0.0,56472.145
0.0,56497.203
0.0,56522.22
0.0,56547.195
0.0,56572.13
0.0,56597.008
0.0,56583.418
0.0,56548.61
0.0,56513.83
0.0,56479.062
0.0,56444.32
0.0,56409.594
0.0,56374.89
0.0,56340.21
0.0,56305.56
0.0,56270.906
0.0,56236.285
0.0,56201.684
0.0,56167.11
0.0,56132.55
0.0,56098.016
0.0,56063.496
0.0,56029.004
0.0,55994.53
0.0,55960.055
0.0,55925.64
0.0,55891.23
0.0,55856.83
0.0,55822.457
0.0,55788.105
0.0,55753.766
0.0,55719.453
0.0,55685.156
0.0,55650.89
0.0,55616.633
0.0,55582.414
0.0,55548.19
0.0,55514.01
0.0,55479.832
0.0,55445.695
0.0,55411.555
0.0,55377.44
0.0,55343.36
0.0,55309.29
0.0,55275.24
0.0,55241.207
0.0,55207.2
0.0,55173.2
0.0,55139.234
0.0,55105.3
0.0,55071.363
0.0,55037.453
0.0,55003.566
0.0,54969.703
0.0,54931.402
0.0,54880.85
0.0,54830.34
0.0,54779.87
0.0,54729.434
0.0,54679.03
0.0,54628.68
0.0,54578.36
0.0,54528.07
0.0,54477.82
0.0,54427.6
0.0,54377.426
0.0,54327.285
0.0,54277.176
0.0,54227.11
0.0,54177.07
0.0,54127.08
0.0,54077.117
0.0,54027.203
0.0,53977.32
0.0,53927.453
0.0,53877.645
0.0,53827.88
0.0,53778.13
0.0,53728.42
0.0,53678.758
0.0,53629.12
0.0,53579.535
0.0,53529.97
0.0,53480.445
0.0,53430.96
0.0,53381.504
0.0,53332.094
0.0,53282.703
0.0,53233.367
0.0,53184.05
0.0,53134.785
0.0,53085.547
0.0,53036.36
0.0,52987.195
0.0,52938.074
0.0,52888.977
0.0,52839.918
0.0,52790.9
0.0,52741.914
0.0,52692.965
0.0,52644.055
0.0,52595.176
0.0,52546.34
0.0,52497.54
0.0,52448.758
0.0,52400.035
0.0,52351.336
0.0,52302.668
0.0,52254.043
0.0,52205.45
0.0,52156.902
0.0,52108.37
0.0,52059.883
0.0,52011.438
0.0,51963.023
0.0,51914.65
0.0,51866.305
0.0,51817.99
0.0,51769.73
0.0,51721.492
0.0,51673.28
0.0,51625.117
0.0,51576.98
0.0,51528.887
0.0,51480.82
0.0,51432.8
0.0,51384.81
0.0,51336.85
0.0,51288.93
0.0,51241.047
0.0,51193.195
0.0,51145.37
0.0,51097.598
0.0,51049.86
0.0,51002.152
0.0,50954.477
0.0,50906.832
0.0,50859.223
0.0,50811.664
0.0,50764.117
0.0,50716.617
0.0,50669.16
0.0,50621.727
0.0,50574.33
0.0,50526.965
0.0,50479.64
0.0,50432.34
0.0,50385.094
0.0,50337.87
0.0,50290.68
0.0,50243.523
0.0,50196.402
0.0,50149.316
0.0,50102.266
0.0,50055.246
0.0,50008.273
0.0,49961.316
0.0,49914.41
0.0,49867.543
0.0,49820.68
0.0,49773.87
0.0,49727.105
0.0,49680.36
0.0,49633.66
0.0,49586.984
0.0,49540.336
0.0,49493.75
0.0,49447.176
0.0,49400.65
0.0,49354.15
0.0,49307.676
0.0,49261.254
0.0,49214.85
0.0,49168.484
0.0,49122.15
0.0,49075.85
0.0,49029.586
0.0,48983.363
0.0,48937.168
0.0,48891.008
0.0,48844.88
0.0,48798.785
0.0,48752.727
0.0,48706.723
0.0,48660.707
0.0,48614.754
0.0,48568.832
0.0,48522.94
0.0,48477.09
0.0,48431.273
0.0,48385.477
0.0,48339.715
0.0,48294.008
0.0,48248.316
0.0,48202.656
0.0,48157.043
0.0,48111.453
0.0,48076.74
0.0,48047.41
0.0,48018.086
0.0,47988.797
0.0,47959.51
0.0,47930.24
0.0,47900.996
0.0,47871.766
0.0,47842.566
0.0,47813.355
0.0,47784.176
0.0,47755.023
0.0,47725.875
0.0,47696.746
0.0,47667.637
0.0,47638.543
0.0,47609.473
0.0,47580.41
0.0,47551.367
0.0,47522.34
0.0,47493.34
0.0,47464.35
0.0,47435.367
0.0,47406.426
0.0,47377.477
0.0,47348.562
0.0,47319.668
0.0,47290.766
0.0,47261.902
0.0,47233.047
0.0,47204.215
0.0,47175.39
0.0,47146.586
0.0,47117.8
0.0,47089.035
0.0,47060.285
0.0,47031.55
0.0,47002.836
0.0,46974.133
0.0,46945.445
0.0,46916.785
0.0,46888.13
0.0,46859.508
0.0,46830.89
0.0,46802.29
0.0,46773.715
0.0,46745.137
0.0,46716.598
0.0,46688.062
0.0,46659.547
0.0,46631.06
0.0,46602.574
0.0,46574.117
0.0,46545.66
0.0,46517.23
0.0,46488.82
0.0,46460.42
0.0,46432.05
0.0,46403.684
0.0,46375.336
0.0,46347.008
0.0,46318.71
0.0,46290.4
0.0,46262.113
0.0,46233.86
0.0,46205.605
0.0,46177.383
0.0,46149.168
0.0,46120.977
0.0,46092.8
0.0,46064.633
0.0,46036.492
0.0,46008.35
0.0,45980.242
0.0,45952.152
0.0,45924.062
0.0,45896.004
0.0,45867.957
0.0,45839.926
0.0,45811.918
0.0,45783.926
0.0,45755.94
0.0,45727.98
0.0,45700.043
0.0,45672.105
0.0,45644.188
0.0,45616.297
0.0,45588.42
0.0,45560.547
0.0,45532.7
0.0,45504.863
0.0,45477.055
0.0,45449.246
0.0,45421.47
0.0,45393.707
0.0,45365.953
0.0,45338.223
0.0,45310.508
0.0,45282.805
0.0,45255.125
0.0,45227.457
0.0,45199.8
0.0,45172.16
0.0,45144.555
0.0,45116.95
0.0,45089.36
0.0,45061.797
0.0,45034.24
0.0,45006.707
0.0,44979.184
0.0,44951.68
0.0,44924.19
0.0,44896.72
0.0,44869.26
0.0,44841.824
0.0,44814.406
0.0,44786.996
0.0,44759.6
0.0,44732.23
0.0,44704.867
0.0,44677.53
0.0,44650.21
0.0,44622.902
0.0,44595.59
0.0,44568.316
0.0,44541.062
0.0,44513.82
0.0,44486.586
0.0,44459.38
0.0,44432.164
0.0,44404.996
0.0,44377.832
0.0,44350.68
0.0,44323.55
0.0,44296.43
0.0,44269.33
0.0,44242.246
0.0,44215.18
0.0,44188.12
0.0,44161.09
0.0,44134.066
0.0,44107.074
0.0,44080.07
0.0,44053.11
0.0,44026.145
0.0,43999.21
0.0,43973.793
0.0,43948.844
0.0,43925.32
0.0,43901.81
0.0,43878.32
0.0,43854.855
0.0,43831.375
0.0,43807.926
0.0,43784.484
0.0,43761.06
0.0,43737.65
0.0,43714.242
0.0,43690.86
0.0,43667.47
0.0,43644.125
0.0,43620.758
0.0,43597.418
0.0,43574.098
0.0,43550.773
0.0,43527.477
0.0,43504.188
0.0,43480.906
0.0,43457.645
0.0,43434.387
0.0,43412.21
0.0,43390.766
0.0,43369.32
0.0,43347.895
0.0,43326.473
0.0,43305.08
0.0,43283.676
0.0,43262.285
0.0,43240.926
0.0,43219.555
0.0,43198.203
0.0,43176.855
0.0,43155.52
0.0,43134.207
0.0,43112.906
0.0,43091.598
0.0,43070.094
0.0,43048.293
0.0,43026.5
0.0,43004.72
0.0,42982.957
0.0,42961.188
0.0,42939.44
0.0,42917.695
0.0,42895.98
0.0,42874.254
0.0,42852.555
0.0,42829.297
0.0,42802.25
0.0,42775.22
0.0,42748.2
0.0,42721.2
0.0,42694.207
0.0,42667.25
0.0,42640.3
0.0,42613.355
0.0,42586.438
0.0,42559.54
0.0,42532.65
0.0,42505.78
0.0,42478.926
0.0,42452.09
0.0,42425.277
0.0,42398.457
0.0,42371.664
0.0,42344.902
0.0,42318.15
0.0,42291.402
0.0,42264.676
0.0,42237.965
0.0,42211.285
0.0,42184.598
0.0,42157.94
0.0,42131.293
0.0,42104.668
0.0,42078.055
0.0,42051.465
0.0,42024.88
0.0,41998.324
0.0,41971.773
0.0,41945.24
0.0,41918.72
0.0,41892.227
0.0,41865.74
0.0,41839.277
0.0,41812.82
0.0,41786.39
0.0,41759.965
0.0,41733.562
0.0,41707.18
0.0,41680.81
0.0,41654.453
0.0,41628.11
0.0,41601.785
0.0,41575.48
0.0,41549.188
0.0,41522.91
0.0,41496.652
0.0,41470.402
0.0,41444.18
0.0,41417.96
0.0,41391.777
0.0,41365.59
0.0,41339.43
0.0,41313.273
0.0,41287.14
0.0,41261.035
0.0,41234.93
0.0,41208.84
0.0,41182.77
0.0,41156.715
0.0,41130.684
0.0,41104.652
0.0,41078.65
0.0,41052.652
0.0,41026.676
0.0,41000.73
0.0,40974.777
0.0,40948.85
0.0,40922.934
0.0,40897.047
0.0,40871.16
0.0,40845.29
0.0,40819.453
0.0,40793.6
0.0,40767.79
0.0,40741.984
0.0,40716.2
0.0,40690.426
0.0,40664.668
0.0,40638.93
0.0,40613.203
